Country,Country and parent code,Population Density,Year
Puerto Rico,CC630_PC630,356.671476888388,2017
Saint Barthélemy,CC652_PC652,444.909090909091,2017
Saint Kitts and Nevis,CC659_PC659,200.138461538462,2017
Saint Lucia,CC662_PC662,296.647540983607,2017
Saint Martin (French part),CC663_PC663,689.981132075472,2017
Saint Vincent and the Grenadines,CC670_PC670,281.605128205128,2017
Sint Maarten (Dutch part),CC534_PC534,1218.94117647059,2017
Trinidad and Tobago,CC780_PC780,269.797270955166,2017
Turks and Caicos Islands,CC796_PC796,39.0694736842105,2017
United States Virgin Islands,CC850_PC850,299.271428571429,2017
Belize,CC84_PC84,16.4741341516879,2017
Costa Rica,CC188_PC188,96.9438895417156,2017
El Salvador,CC222_PC222,308.307142857143,2017
Guatemala,CC320_PC320,157.847881672266,2017
Honduras,CC340_PC340,84.2704084368576,2017
Mexico,CC484_PC484,64.1875181974845,2017
Nicaragua,CC558_PC558,53.0566976898787,2017
Panama,CC591_PC591,55.2429916599408,2017
Argentina,CC32_PC32,16.054848375227,2017
Bolivia (Plurinational State of),CC68_PC68,10.3321822209914,2017
Brazil,CC76_PC76,24.8660377787402,2017
Chile,CC152_PC152,24.8414795866217,2017
Colombia,CC170_PC170,44.0827796304642,2017
Ecuador,CC218_PC218,67.5847801578354,2017
Falkland Islands (Malvinas),CC238_PC238,0.252588331963846,2017
French Guiana,CC254_PC254,3.34779805352798,2017
Guyana,CC328_PC328,3.93811531623063,2017
Paraguay,CC600_PC600,17.2843141203121,2017
Peru,CC604_PC604,24.56585859375,2017
Suriname,CC740_PC740,3.65705769230769,2017
Uruguay,CC858_PC858,19.6357273454462,2017
Venezuela (Bolivarian Republic of),CC862_PC862,33.3342554276968,2017
Australia,CC36_PC36,3.20016388321206,2017
New Zealand,CC554_PC554,17.8573886293722,2017
Fiji,CC242_PC242,48.0273672687466,2017
New Caledonia,CC540_PC540,15.1618708971554,2017
Papua New Guinea,CC598_PC598,18.6327739257166,2017
Solomon Islands,CC90_PC90,22.7234726688103,2017
Vanuatu,CC548_PC548,23.4207547169811,2017
Guam,CC316_PC316,304.224074074074,2017
Kiribati,CC296_PC296,140.92962962963,2017
Marshall Islands,CC584_PC584,322.516666666667,2017
Micronesia (Fed. States of),CC583_PC583,159.23,2017
Nauru,CC520_PC520,528.85,2017
Northern Mariana Islands,CC580_PC580,122.941304347826,2017
Palau,CC585_PC585,38.7152173913044,2017
American Samoa,CC16_PC16,278.085,2017
Cook Islands,CC184_PC184,72.9375,2017
French Polynesia,CC258_PC258,75.4393442622951,2017
Niue,CC570_PC570,6.2,2017
Samoa,CC882_PC882,69.0310954063604,2017
Tokelau,CC772_PC772,129.7,2017
Tonga,CC776_PC776,141.669444444444,2017
Tuvalu,CC798_PC798,378.833333333333,2017
Wallis and Futuna Islands,CC876_PC876,84.9571428571429,2017
Belarus,CC112_PC112,46.5735202799271,2017
Bulgaria,CC100_PC100,65.4242078113486,2017
Czechia,CC203_PC203,137.765820818229,2017
Hungary,CC348_PC348,107.476217828344,2017
Poland,CC616_PC616,123.936831793097,2017
Republic of Moldova,CC498_PC498,123.582557077626,2017
Romania,CC642_PC642,85.3889125429031,2017
Russian Federation,CC643_PC643,8.88631899746411,2017
Slovakia,CC703_PC703,113.290280319414,2017
Ukraine,CC804_PC804,76.7929779741766,2017
Channel Islands,CC830_PC830,887.715789473684,2017
Denmark,CC208_PC208,135.09962290832,2017
Estonia,CC233_PC233,31.1250058976174,2017
Faroe Islands,CC234_PC234,34.6174785100287,2017
Finland,CC246_PC246,18.1360755536543,2017
Iceland,CC352_PC352,3.33561097256858,2017
Ireland,CC372_PC372,68.9981274495573,2017
Isle of Man,CC833_PC833,146.684210526316,2017
Latvia,CC428_PC428,31.3681189710611,2017
Lithuania,CC440_PC440,45.4003095382455,2017
Norway,CC578_PC578,14.4998302616161,2017
Sweden,CC752_PC752,24.138263391334,2017
United Kingdom,CC826_PC826,275.81309883024,2017
Albania,CC8_PC8,105.261642335766,2017
Andorra,CC20_PC20,163.823404255319,2017
Bosnia and Herzegovina,CC70_PC70,65.7163529411765,2017
Croatia,CC191_PC191,74.7470872051465,2017
Gibraltar,CC292_PC292,3372.3,2017
Greece,CC300_PC300,81.9972769588829,2017
Holy See,CC336_PC336,1813.63636363636,2017
Italy,CC380_PC380,206.274882708914,2017
Malta,CC470_PC470,1368.546875,2017
Montenegro,CC499_PC499,46.6589591078067,2017
North Macedonia,CC807_PC807,82.5533703409992,2017
Portugal,CC620_PC620,112.332427120865,2017
San Marino,CC674_PC674,561.183333333333,2017
Serbia,CC688_PC688,100.956128515893,2017
Slovenia,CC705_PC705,103.098063555114,2017
Spain,CC724_PC724,93.5192963111467,2017
Austria,CC40_PC40,107.025955902875,2017
Belgium,CC56_PC56,377.138441215324,2017
France,CC250_PC250,118.421484886505,2017
Germany,CC276_PC276,237.142555083773,2017
Liechtenstein,CC438_PC438,236.28125,2017
Luxembourg,CC442_PC442,228.538223938224,2017
Monaco,CC492_PC492,25766.4429530201,2017
Netherlands,CC528_PC528,504.784786476868,2017
Switzerland,CC756_PC756,213.984133009414,2017
Bermuda,CC60_PC60,1260.8,2017
Canada,CC124_PC124,4.0393743449999,2017
Greenland,CC304_PC304,0.137588013156292,2017
Saint Pierre and Miquelon,CC666_PC666,25.5869565217391,2017
United States of America,CC840_PC840,35.5384095187495,2017
