Country,Country and parent code,Population Density,Year
Burundi,CC108_PC108,435.178309968847,2018
Comoros,CC174_PC174,447.24449220849,2018
Djibouti,CC262_PC262,41.368550474547,2018
Eritrea,CC232_PC232,34.1861089108911,2018
Ethiopia,CC231_PC231,109.22441,2018
Kenya,CC404_PC404,90.2986435674878,2018
Madagascar,CC450_PC450,45.1401490215626,2018
Malawi,CC454_PC454,192.439700890963,2018
Mauritius,CC480_PC480,624.228571428571,2018
Mayotte,CC175_PC175,692.069333333333,2018
Mozambique,CC508_PC508,37.5085950812584,2018
Réunion,CC638_PC638,353.0124,2018
Rwanda,CC646_PC646,498.661086339684,2018
Seychelles,CC690_PC690,211.073913043478,2018
Somalia,CC706_PC706,23.9235900787452,2018
South Sudan,CC728_PC728,17.9652922446233,2018
Uganda,CC800_PC800,213.848315900105,2018
United Republic of Tanzania,CC834_PC834,63.5735425603974,2018
Zambia,CC894_PC894,23.341333620307,2018
Zimbabwe,CC716_PC716,37.3240584205764,2018
Angola,CC24_PC24,24.7130721103714,2018
Cameroon,CC120_PC120,53.3440396860655,2018
Central African Republic,CC140_PC140,7.49040900189412,2018
Chad,CC148_PC148,12.2917145806862,2018
Congo,CC178_PC178,15.3568462664715,2018
Democratic Republic of the Congo,CC180_PC180,37.0825927968064,2018
Equatorial Guinea,CC226_PC226,46.6654545454545,2018
Gabon,CC266_PC266,8.22476423332169,2018
Sao Tome and Principe,CC678_PC678,219.825,2018
Botswana,CC72_PC72,3.97732077003158,2018
Eswatini,CC748_PC748,66.0624418604651,2018
Lesotho,CC426_PC426,69.4442358366271,2018
Namibia,CC516_PC516,2.97380024049849,2018
South Africa,CC710_PC710,47.640752128861,2018
Benin,CC204_PC204,101.853804540617,2018
Burkina Faso,CC854_PC854,72.1910307017544,2018
Cabo Verde,CC132_PC132,134.929032258065,2018
Côte d'Ivoire,CC384_PC384,78.8340440251572,2018
Gambia,CC270_PC270,225.305533596838,2018
Ghana,CC288_PC288,130.821429199262,2018
Guinea,CC324_PC324,50.5221064626404,2018
Guinea-Bissau,CC624_PC624,66.6537695590327,2018
Liberia,CC430_PC430,50.0308970099668,2018
Mali,CC466_PC466,15.6350691285783,2018
Mauritania,CC478_PC478,4.27215678664985,2018
Niger,CC562_PC562,17.7175582221521,2018
Nigeria,CC566_PC566,215.064928576918,2018
