Country,Country and parent code,Population Density,Year
Burundi,CC108_PC108,463.036643302181,2020
Comoros,CC174_PC174,467.272971520688,2020
Djibouti,CC262_PC262,42.6230371009491,2020
Eritrea,CC232_PC232,35.1131386138614,2020
Ethiopia,CC231_PC231,114.963583,2020
Kenya,CC404_PC404,94.4781600309238,2020
Madagascar,CC450_PC450,47.5958353028128,2020
Malawi,CC454_PC454,202.905759439966,2020
Mauritius,CC480_PC480,626.486206896552,2020
Mayotte,CC175_PC175,727.501333333333,2020
Mozambique,CC508_PC508,39.745968870012,2020
Réunion,CC638_PC638,358.1232,2020
Rwanda,CC646_PC646,525.018605593839,2020
Seychelles,CC690_PC690,213.782608695652,2020
Somalia,CC706_PC706,25.3342987853477,2020
South Sudan,CC728_PC728,18.3217934810877,2020
Uganda,CC800_PC800,228.922476352535,2020
United Republic of Tanzania,CC834_PC834,67.4353273876722,2020
Zambia,CC894_PC894,24.7298941336311,2020
Zimbabwe,CC716_PC716,38.4203877471888,2020
Angola,CC24_PC24,26.3626116948745,2020
Cameroon,CC120_PC120,56.1567641894608,2020
Central African Republic,CC140_PC140,7.75267905871778,2020
Chad,CC148_PC148,13.0446783672173,2020
Congo,CC178_PC178,16.1583953147877,2020
Democratic Republic of the Congo,CC180_PC180,39.5057030061093,2020
Equatorial Guinea,CC226_PC226,50.0172905525847,2020
Gabon,CC266_PC266,8.63790119144642,2020
Sao Tome and Principe,CC678_PC678,228.292708333333,2020
Botswana,CC72_PC72,4.14946270710921,2020
Eswatini,CC748_PC748,67.4513953488372,2020
Lesotho,CC426_PC426,70.5616600790514,2020
Namibia,CC516_PC516,3.08629523011333,2020
South Africa,CC710_PC710,48.8905934431905,2020
Benin,CC204_PC204,107.513284852785,2020
Burkina Faso,CC854_PC854,76.4008698830409,2020
Cabo Verde,CC132_PC132,137.962282878412,2020
Côte d'Ivoire,CC384_PC384,82.9505503144654,2020
Gambia,CC270_PC270,238.800790513834,2020
Ghana,CC288_PC288,136.560363013097,2020
Guinea,CC324_PC324,53.446166368224,2020
Guinea-Bissau,CC624_PC624,69.9857041251778,2020
Liberia,CC430_PC430,52.5091050664452,2020
Mali,CC466_PC466,16.5964595677722,2020
