Country,Country and parent code,Population Density,Year
Puerto Rico,CC630_PC630,330.710710259301,2019
Saint Barthélemy,CC652_PC652,447.863636363636,2019
Saint Kitts and Nevis,CC659_PC659,203.207692307692,2019
Saint Lucia,CC662_PC662,299.66393442623,2019
Saint Martin (French part),CC663_PC663,717.018867924528,2019
Saint Vincent and the Grenadines,CC670_PC670,283.571794871795,2019
Sint Maarten (Dutch part),CC534_PC534,1246.73529411765,2019
Trinidad and Tobago,CC780_PC780,271.923781676413,2019
Turks and Caicos Islands,CC796_PC796,40.2042105263158,2019
United States Virgin Islands,CC850_PC850,298.797142857143,2019
Belize,CC84_PC84,17.1131521262604,2019
Costa Rica,CC188_PC188,98.8554837446142,2019
El Salvador,CC222_PC222,311.464768339768,2019
Guatemala,CC320_PC320,164.067525195969,2019
Honduras,CC340_PC340,87.1044329251944,2019
Mexico,CC484_PC484,65.626960055557,2019
Nicaragua,CC558_PC558,54.3917483795912,2019
Panama,CC591_PC591,57.1218724778047,2019
Argentina,CC32_PC32,16.3630791211281,2019
Bolivia (Plurinational State of),CC68_PC68,10.6278057786393,2019
Brazil,CC76_PC76,25.2507757706858,2019
Chile,CC152_PC152,25.4891988508901,2019
Colombia,CC170_PC170,45.3712870662461,2019
Ecuador,CC218_PC218,69.9535231116122,2019
Falkland Islands (Malvinas),CC238_PC238,0.277074774034511,2019
French Guiana,CC254_PC254,3.53799270072993,2019
Guyana,CC328_PC328,3.97650495300991,2019
Paraguay,CC600_PC600,17.731283664737,2019
Peru,CC604_PC604,25.3987984375,2019
Suriname,CC740_PC740,3.7266858974359,2019
Uruguay,CC858_PC858,19.779059536053,2019
Venezuela (Bolivarian Republic of),CC862_PC862,32.3290391701151,2019
Australia,CC36_PC36,3.28068417010531,2019
New Zealand,CC554_PC554,18.1651361513045,2019
Fiji,CC242_PC242,48.7112753147236,2019
New Caledonia,CC540_PC540,15.4681072210066,2019
Papua New Guinea,CC598_PC598,19.3793203197456,2019
Solomon Islands,CC90_PC90,23.9307252590211,2019
Vanuatu,CC548_PC548,24.6006562756358,2019
Guam,CC316_PC316,309.805555555556,2019
Kiribati,CC296_PC296,145.195061728395,2019
Marshall Islands,CC584_PC584,326.616666666667,2019
Micronesia (Fed. States of),CC583_PC583,162.587142857143,2019
Nauru,CC520_PC520,538.2,2019
Northern Mariana Islands,CC580_PC580,124.376086956522,2019
Palau,CC585_PC585,39.1326086956522,2019
American Samoa,CC16_PC16,276.56,2019
Cook Islands,CC184_PC184,73.1125,2019
French Polynesia,CC258_PC258,76.3073770491803,2019
Niue,CC570_PC570,6.20769230769231,2019
Samoa,CC882_PC882,69.6441696113074,2019
Tokelau,CC772_PC772,133,2019
Tonga,CC776_PC776,145.134722222222,2019
Tuvalu,CC798_PC798,388.5,2019
Wallis and Futuna Islands,CC876_PC876,81.6857142857143,2019
Belarus,CC112_PC112,46.5842442462175,2019
Bulgaria,CC100_PC100,64.4815493736183,2019
Czechia,CC203_PC203,138.389603832211,2019
Hungary,CC348_PC348,106.97757649398,2019
Poland,CC616_PC616,123.723250497992,2019
Republic of Moldova,CC498_PC498,123.082435312024,2019
Romania,CC642_PC642,84.1315462484251,2019
Russian Federation,CC643_PC643,8.9072124282601,2019
Slovakia,CC703_PC703,113.479703876227,2019
Ukraine,CC804_PC804,75.9401418904923,2019
Channel Islands,CC830_PC830,906.652631578947,2019
Denmark,CC208_PC208,136.032924817346,2019
Estonia,CC233_PC233,31.2726822363765,2019
Faroe Islands,CC234_PC234,34.8689111747851,2019
Finland,CC246_PC246,18.2044785942282,2019
Iceland,CC352_PC352,3.38191521197007,2019
Ireland,CC372_PC372,70.8738278414864,2019
Isle of Man,CC833_PC833,148.401754385965,2019
Latvia,CC428_PC428,30.6549839228296,2019
Lithuania,CC440_PC440,44.0315122698408,2019
Norway,CC578_PC578,14.7257876408555,2019
Sweden,CC752_PC752,24.4587195983818,2019
United Kingdom,CC826_PC826,279.130992435829,2019
Albania,CC8_PC8,105.142810218978,2019
Andorra,CC20_PC20,164.140425531915,2019
Bosnia and Herzegovina,CC70_PC70,64.7254509803922,2019
